Date/time,Accuracy,Sensitivity,Precision,F1 measure,True positive,True negative,False positive,False negative,Specificity,G mean
2022-03-29 13:47:26.989154,0.75,0,0,0,0,3,1,0,0.75,0.0
2022-03-29 13:53:56.668991,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 13:56:34.414624,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 13:56:54.029701,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 13:59:41.616040,0.75,0,0,0,0,3,1,0,0.75,0.0
2022-03-29 13:59:55.783486,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:01:17.200128,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:01:28.509346,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:01:36.710409,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:01:45.042427,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:01:54.161521,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:02:06.405945,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:02:36.013393,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:02:45.413293,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:02:53.600982,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:03:03.723926,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:03:47.537896,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:04:00.846054,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:04:12.529377,0.75,0,0,0,0,3,1,0,0.75,0.0
2022-03-29 14:05:33.747196,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:05:43.581446,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:38:26.125422,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:38:35.576704,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:39:06.003598,1.0,0,0,0,0,4,0,0,1.0,0.0
2022-03-29 14:39:34.684217,1.0,0,0,0,0,4,0,0,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
2022_03_29_15_46_01,0.9230769230769231,0,0,0,0,36,0,3,1.0,0.0
