Epoch,Train Loss,Validation Loss,Validation Accuracy,Sensitivity,Specificity
1,1.21111536,1.037889123,0.580645144,0.5,0.592592597
2,0.831679881,0.84890449,0.580645144,0.25,0.629629612
3,0.690921783,0.736676455,0.419354826,0.5,0.407407403
4,0.727924585,1.029520512,0.387096763,0.75,0.333333343
5,0.69027853,1.109169602,0.419354826,0.5,0.407407403
6,0.648119152,0.841795862,0.483870953,0.5,0.481481493
7,0.65549469,0.538144171,0.774193525,0.25,0.851851881
8,0.659006298,0.961054802,0.322580636,0.75,0.259259254
9,0.641554952,0.597114742,0.612903237,0.25,0.666666687
10,0.782544136,0.589801252,0.677419364,0.25,0.740740716
11,0.606255949,0.923343897,0.45161289,0.5,0.444444448
12,0.607133985,0.721483052,0.54838711,0.25,0.592592597
13,0.650314033,0.739563882,0.45161289,0.5,0.444444448
14,0.613910079,0.753856778,0.612903237,0.25,0.666666687
15,0.510112703,0.592685819,0.677419364,0.25,0.740740716
16,0.547885478,0.833610654,0.612903237,0.25,0.666666687
17,0.670523226,0.692147374,0.612903237,0.25,0.666666687
18,0.505098522,1.278586626,0.387096763,0.5,0.370370358
19,0.657859623,0.92299968,0.322580636,0.25,0.333333343
20,0.552414715,0.635093093,0.612903237,0.25,0.666666687
21,0.542328119,0.677785039,0.54838711,0.25,0.592592597
22,0.491711944,0.789960682,0.580645144,0.25,0.629629612
23,0.470222533,0.494811684,0.806451619,0.25,0.888888896
24,0.703989983,0.737354636,0.709677398,0.25,0.777777791
25,0.567798674,0.782600105,0.612903237,0.25,0.666666687
26,0.458644569,0.675438285,0.645161271,0.25,0.703703701
27,0.508210361,0.966154456,0.322580636,0.25,0.333333343
28,0.45939669,0.794655621,0.612903237,0.25,0.666666687
29,0.438445956,0.789425433,0.645161271,0.5,0.666666687
30,0.465550303,0.572292328,0.774193525,0.25,0.851851881
31,0.567108035,1.064618945,0.483870953,0.5,0.481481493
32,0.479777396,0.836978793,0.645161271,0.5,0.666666687
33,0.506536841,0.589455843,0.677419364,0.25,0.740740716
34,0.429488361,1.043498397,0.516129017,0.5,0.518518507
35,0.505279362,0.792514741,0.677419364,0.25,0.740740716
36,0.387831181,0.667989254,0.709677398,0.25,0.777777791
37,0.506096125,0.864867985,0.54838711,0.5,0.555555582
38,0.526922345,0.690693796,0.677419364,0.25,0.740740716
39,0.428376555,0.728108108,0.677419364,0.25,0.740740716
40,0.498384744,0.917286634,0.516129017,0.25,0.555555582
41,0.531372845,0.733637393,0.612903237,0.25,0.666666687
42,0.475602955,0.716669381,0.677419364,0.5,0.703703701
43,0.429981411,0.663039088,0.709677398,0.25,0.777777791
44,0.387683243,0.752210259,0.516129017,0.25,0.555555582
45,0.356967539,0.772919834,0.709677398,0.25,0.777777791
46,0.448765218,0.751072764,0.580645144,0.25,0.629629612
47,0.467942804,1.184226871,0.387096763,0.5,0.370370358
48,0.462021708,0.679973066,0.677419364,0.25,0.740740716
49,0.401121974,0.593000829,0.709677398,0.25,0.777777791
50,0.36922124,0.782296717,0.580645144,0.25,0.629629612
